item_id,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
,2017-01,4358172.751478861,12508.22800272306,1033.0,172.16666666666666,869.123595505618,2.3986285470799125,15.476915258519336,1.725141122702947,0.0,12.108642790632198,95.9451418831965,22514.81040490151,1.0,12508.22800272306,1.0,2501.645600544611,1.0
,2017-02,4051204.2398971766,12066.38349866543,830.0,138.33333333333334,864.3631284916202,2.3266424146917264,20.169395246923447,1.7681620956970685,0.0,14.537811444175215,93.06569658766907,21719.490297597775,1.0,12066.38349866543,1.0,2413.2766997330855,1.0
,2017-03,3825703.9962861366,11702.74061738912,639.0,106.5,860.6388888888889,2.266289374958355,23.475937656717793,1.8116930271045286,0.0,18.314148071031486,90.65157499833418,21064.933111300415,1.0,11702.74061738912,1.0,2340.5481234778235,1.0
,2017-04,3594558.2512527383,11350.33233704178,464.0,77.33333333333333,856.6685082872929,2.2082311160890966,29.86031612430082,1.8535087062942006,0.0,24.46192314017625,88.32924464356387,20430.598206675208,1.0,11350.33233704178,1.0,2270.0664674083555,1.0
,2017-05,3460756.10714749,11140.239260206401,415.0,69.16666666666667,852.4120879120879,2.178179509297646,30.449669417085925,1.862587867232709,0.0,26.843950024593738,87.12718037190582,20052.430668371522,1.0,11140.239260206401,1.0,2228.04785204128,1.0
,2017-06,3437256.4594955747,11104.47362713983,538.0,89.66666666666667,847.8907103825137,2.182764337267438,28.29466788148235,1.830567556826048,0.0,20.64028555230452,87.31057349069754,19988.052528851695,1.0,11104.47362713983,1.0,2220.8947254279656,1.0
,2017-07,3325906.800873583,10930.993842968961,809.0,134.83333333333334,843.3097826086956,2.160335792057143,24.046999061142657,1.7615816483930056,0.0,13.511735281791053,86.41343168228573,19675.78891734413,1.0,10930.993842968961,1.0,2186.1987685937916,1.0
,2017-01,2299143.926440359,9035.89705992243,1995.0,332.5,2205.5898876404494,0.6828027512093432,4.985058871229209,1.404994847705071,0.0,4.529271709234301,27.31211004837373,16264.614707860374,1.0,9035.89705992243,1.0,1807.1794119844856,1.0
,2017-02,2879932.8462744285,9954.8815061932,2045.0,340.8333333333333,2263.8603351955308,0.7328839557390652,5.360120596567907,1.4185818068752116,0.0,4.86791271696489,29.31535822956261,17918.78671114776,1.0,9954.8815061932,1.0,1990.9763012386397,1.0
,2017-03,3320130.4951205184,10715.29691925091,2056.0,342.6666666666667,2307.95,0.773796148042701,5.844759306581888,1.4410425296324834,0.0,5.2117202914644505,30.951845921708042,19287.53445465164,1.0,10715.29691925091,1.0,2143.059383850182,1.0
